8.700000000000000000e+01	2.912700061627638171e+00
1.415000000000000000e+02	2.609033390595023594e+00
2.255000000000000000e+02	2.335427008345416944e+00
2.590000000000000000e+02	2.332245500997220944e+00
3.840000000000000000e+02	1.904249010484783122e+00
4.190000000000000000e+02	1.910162548506141755e+00
4.565000000000000000e+02	1.827475515450178944e+00
4.980000000000000000e+02	1.763303068494535442e+00
5.165000000000000000e+02	1.720026796708037375e+00
6.505000000000000000e+02	1.634757117080389621e+00
7.380000000000000000e+02	1.636343378785940494e+00
8.225000000000000000e+02	1.598008650702249289e+00
8.385000000000000000e+02	1.605467149566349283e+00
1.001000000000000000e+03	1.549250608910067495e+00
1.018500000000000000e+03	1.512624277320290256e+00
1.036500000000000000e+03	1.524633003288608180e+00
