Rigol MSO8104 1 MOm
MHz			K[1]
5.000000000000000000e+01	2.000000000000000000e+00
1.000000000000000000e+02	1.699999999999999956e+00
1.500000000000000000e+02	1.528999999999999915e+00
2.000000000000000000e+02	1.425999999999999934e+00
2.500000000000000000e+02	1.312000000000000055e+00
3.000000000000000000e+02	1.304999999999999938e+00
3.500000000000000000e+02	1.354999999999999982e+00
4.000000000000000000e+02	1.399999999999999911e+00
4.500000000000000000e+02	1.459999999999999964e+00
5.000000000000000000e+02	1.451000000000000068e+00
5.500000000000000000e+02	1.260000000000000009e+00
6.000000000000000000e+02	1.100000000000000089e+00
6.500000000000000000e+02	9.360000000000000542e-01
7.000000000000000000e+02	8.030000000000000471e-01
7.500000000000000000e+02	7.309999999999999831e-01
8.000000000000000000e+02	6.400000000000000133e-01
8.500000000000000000e+02	5.709999999999999520e-01
9.000000000000000000e+02	5.230000000000000204e-01
9.500000000000000000e+02	4.680000000000000271e-01
1.000000000000000000e+03	4.319999999999999951e-01
1.050000000000000000e+03	3.880000000000000115e-01
1.100000000000000000e+03	1.920000000000000040e-01
1.150000000000000000e+03	1.729999999999999871e-01
1.200000000000000000e+03	1.529999999999999971e-01
