Photodetector InGaAs Balanced Photorecelver PN:KY-BPRM-20G-I-FA SN:221731255
MHz				K2[A/W]
1.373000000000000000e+02	27.80000000000000000e-01
2.227000000000000000e+02	26.20000000000000000e-01
2.521000000000000000e+02	26.30000000000000244e-01
3.800000000000000000e+02	22.90000000000000000e-01
4.136000000000000000e+02	22.80000000000000000e-01
4.503000000000000000e+02	22.30000000000000000e-01
6.102000000000000000e+02	22.20000000000000000e-01
6.985000000000000000e+02	21.80000000000000000e-01
8.200000000000000000e+02	21.60000000000000000e-01
8.339800000000000000e+02	20.80000000000000000e-01
9.958000000000000000e+02	21.50000000000000000e-01
1.031000000000000000e+03	21.80000000000000000e-01
1.200000000000000000e+03	21.00000000000000000e-01
1.225000000000000000e+03	21.20000000000000000e-01
