Rigol MSO8104 50 Om
MHz			K[1]
1.200000000000000000e+01	1.000000000000000000e+00
1.200000000000000000e+02	1.000000000000000000e+00
2.000000000000000000e+02	9.749999999999999778e-01
2.500000000000000000e+02	9.589999999999999636e-01
3.000000000000000000e+02	9.509999999999999565e-01
3.500000000000000000e+02	9.509999999999999565e-01
4.000000000000000000e+02	9.350000000000000533e-01
4.500000000000000000e+02	9.190000000000000391e-01
5.000000000000000000e+02	9.110000000000000320e-01
5.500000000000000000e+02	8.870000000000000107e-01
6.000000000000000000e+02	8.790000000000000036e-01
6.500000000000000000e+02	8.709999999999999964e-01
7.000000000000000000e+02	8.459999999999999742e-01
7.500000000000000000e+02	8.379999999999999671e-01
8.000000000000000000e+02	8.219999999999999529e-01
8.500000000000000000e+02	8.139999999999999458e-01
9.000000000000000000e+02	8.060000000000000497e-01
9.500000000000000000e+02	7.660000000000000142e-01
1.000000000000000000e+03	7.279999999999999805e-01
1.050000000000000000e+03	7.189999999999999725e-01
1.100000000000000000e+03	6.830000000000000515e-01
1.150000000000000000e+03	6.830000000000000515e-01
1.200000000000000000e+03	6.370000000000000107e-01
